,Make,Model,Year of Manufacture,Color,Price,Location,Trim,Drivetrain,Engine Size,Number of Cylinders,Horse Power,Interior Color,Seats,Registered Car,Second Condition,Body,Exchange Possible,VIN Chassis number
238,Lexus,RX,2017,Gold,48000000.0,Lagos,,,,,,Brown,,No,"No faults, Unpainted, Original parts",,,
239,Toyota,Avalon,2015,White,22500000.0,Lagos,Limited 4dr Sedan (3.5L 6cyl 6A),Front Wheel,3500cc,6,268hp,Black,5,No,No faults,Sedan,,
240,Lexus,RX,2016,Brown,62000000.0,Lagos,350 AWD,All Wheel,3500cc,6,295hp,Brown,5,No,,SUV,No,
241,Lexus,GX,2015,Black,55000000.0,Lagos,,,,,,Other,,No,"No faults, Unpainted",,,
242,Toyota,Highlander,2013,Silver,18000000.0,Lagos,SE 3.5L 4WD,All Wheel,3500cc,6,270hp,Other,5,No,No faults,SUV,No,
243,Toyota,Highlander,2016,White,29500000.0,Lagos,XLE V6 4x4 (3.5L 6cyl 6A),All Wheel,3500cc,6,270hp,Gray,7,No,No faults,SUV,Yes,
244,Mercedes-Benz,GLE-Class,2017,Blue,43000000.0,Lagos,GLE 350d 4MATIC,All Wheel,3000cc,6,254hp,Beige,5,Yes,No faults,SUV,,
245,Ford,F-150,2010,Gold,13800000.0,Lagos,SVT Raptor,All Wheel,5400cc,8,314hp,Red,,No,"First owner, No faults",Pickup,No,
246,Mercedes-Benz,M Class,2014,White,29000000.0,Lagos,ML350 4MATIC 4dr SUV AWD (3.5L 6cyl 7A),All Wheel,3500cc,6,302hp,Other,5,No,No faults,SUV,,
247,Lexus,RX,2017,Other,50000000.0,Lagos,,,,,,Other,,No,"No faults, Unpainted",,,
248,Toyota,Highlander,2015,Black,28700000.0,Lagos,XLE 4dr SUV AWD (3.5L 6cyl 6A),All Wheel,3500cc,6,270hp,Black,7-8,No,"Original parts, Unpainted, No faults",SUV,No,
249,Toyota,Highlander,2016,Black,32000000.0,Kaduna,,,,,,,,,,,,
250,Lexus,RX,2015,Red,28000000.0,Lagos,350 AWD,All Wheel,3500cc,6,270hp,Other,5,,"No faults, Unpainted, Original parts",SUV,,
251,Mercedes-Benz,GLE-Class,2020,Silver,90000000.0,Lagos,GLE 350 4MATIC,All Wheel,2000cc,4,255hp,Black,5,,No faults,SUV,No,
252,Mercedes-Benz,GLA 250,2014,Black,18200000.0,Lagos,SV Premium,,2000cc,,,Black,,Yes,No faults,,Yes,
253,Lexus,ES,2009,Blue,11500000.0,Lagos,350,Front,,6,,,5,No,"Original parts, Unpainted, No faults",Sedan,,
254,Lexus,GX,2014,Gray,42000000.0,Lagos,460 Luxury,4x4,4600cc,8,301hp,White,7,No,"Unpainted, No faults, Original parts",SUV,No,
255,Mercedes-Benz,GLK-Class,2014,Gray,23000000.0,Lagos,350 4MATIC,All Wheel,3500cc,6,302hp,Black,5,No,No faults,SUV,,
